RECV_KEY,CONTYPE,CONID,STATIONID,MODE,BAUDRATE,FLOATPOINT,DESC,EQUIPID,SENSOR_CODE,SENSOR_NAME,FUNCTION,DATATYPE,ADDRESS,BYTES
DAQSYS,RS485,/dev/tty.usbserial-AQ00WOQH,1,rtu,19200,1,PV,HM0001,1,SIDE_A_TEMP,PV,HEX,0x03E8,
DAQSYS,RS485,/dev/tty.usbserial-AQ00WOQH,1,rtu,19200,1,PV,HM0001,2,SIDE_B_TEMP,PV,HEX,0x03E8,
DAQSYS,RS485,/dev/tty.usbserial-AQ00WOQH,1,rtu,19200,1,PV,HM0001,3,SIDE_C_TEMP,PV,HEX,0x03E8,
DAQSYS,RS485,/dev/tty.usbserial-AQ00WOQH,1,rtu,19200,1,PV,HM0002,4,HUMIDITY,PV,HEX,0x03E8,
DAQSYS,TCP,192.168.7.74:502,1,,,2,PV,PM0001,5,VOLT,PV,INT,64,2
DAQSYS,TCP,192.168.7.74:502,1,,,2,PV,PM0001,6,AMP,PV,INT,137,1
DAQSYS,TCP,192.168.7.74:502,1,,,2,PV,PM0001,7,WATT,PV,INT,139,1
DAQSYS,TCP,192.168.7.74:502,1,,,2,PV,PM0001,8,PHASE,PV,INT,140,1
DAQSYS,TCP,192.168.7.74:502,1,,,2,PV,PM0001,9,PF,PV,INT,141,1
DAQSYS,TCP,192.168.7.74:502,1,,,2,PV,PM0001,10,THD,PV,INT,142,1
